Review_ID,Platform,Source,Date,Username,Title,Text,Score,Product_Tag,URL,Sentiment,Sentiment_Score,L1_Category,L2_Specific_Issue
a2587e4c-ea80-4045-9e86-6c335810c0b5,Google Play,Play Store -- District,09/06/2026,NILADRI DUTTA,,I am using this app from few days for booking and it's amazing with great deals and amazing discounts.,5,District,https://play.google.com/store/apps/details?id=com.application.zomato.district,Positive,0.92,Events & Venues,Ticketing & Booking
d44c402c-7f5f-4752-bb87-7b882d157cdd,Google Play,Play Store -- District,01/06/2026,Shaurya Pratap Singh,,"Worst App, if you book something from district they are not liable rhey won't provide you with refund. mentally harassing people on call. Suggestion don't use the app.",1,District,https://play.google.com/store/apps/details?id=com.application.zomato.district,Negative,-0.84,Customer Support & Resolution,Refund & Policy Disputes
9d21e36f-3ae5-4a4f-91f7-908731749cd2,Google Play,Play Store -- District,29/05/2026,Vignesh Raja,,"App experience is great but sometimes dining booking, some restaurants do not accept payment via district. Rest all works smoothly.",5,District,https://play.google.com/store/apps/details?id=com.application.zomato.district,Negative,-0.058,"Ease of Use & Digital Experience, Events & Venues","Checkout & Payment Process, Ticketing & Booking"
8f3f1bae-211c-494d-a3f1-fcf58c2c076d,Google Play,Play Store -- District,13/04/2026,Shivkant Yadav,,"Been a timesprime member since 5 years now. This time i wouldnt renew it. It has become a complete mess.I havent been able to use any worthwhile offer from this.Even some offers like movie tickets etc were also like flash sale. Like till stock lasts.Are u serious?We are paying you for peace,premium. And you are making it a rat race ad junk campaign.To be honest.One can literally save more money and own what it really needs directly than be a timesprime member & hope for any worth while offer.",1,District,https://play.google.com/store/apps/details?id=com.application.zomato.district,Negative,0.942,Value & Pricing,Promotions & Loyalty
568f62c5-4394-43f2-b13a-1a807ec5a186,Google Play,Play Store -- District,24/05/2026,Snehal Chikane,,worsttttest app everr!! never ever use it . it's just waste of time and money . i paid for food and didn't even get it . Customer care just seemed to understand my problem but did not help a little. I'm deleting this worst app and never ever downloading it again,1,District,https://play.google.com/store/apps/details?id=com.application.zomato.district,Negative,-0.928,"Customer Support & Resolution, Ease of Use & Digital Experience","Agent Helpfulness, App/Website Navigation"
ebc720cb-b012-4839-8a30-f6d86e7d0807,Google Play,Play Store -- District,22/05/2026,Krishna Jashvanth,,"I bought tickets for an IPL match and my tickets got scammed, when I called and asked them to get my tickets back to me as I am the buyer who bought them and they should be able to transfer them back to me. But nothing happened, asked me to wait, wait, wait and wait and in the mean time the match started and the culprit was entering the stadium with my tickets and watching the match. Never buy any tickets or stuff from this app. worst app ever",1,District,https://play.google.com/store/apps/details?id=com.application.zomato.district,Negative,-0.805,Uncategorized/General Feedback,No Specific Issue Stated
df697c9e-5a29-4734-ad09-9031347b10e9,Google Play,Play Store -- District,16/04/2026,Arijit Dey,,"There is no option for 0 stars otherwise I would have provided 0 stars. There promises and terms like 25% off, 20% off on dining all these are for showing off and in real restaurants do not accept payment with this offers and asks for full bill and their customer care executives also don't provide any solutions regarding the same.",1,District,https://play.google.com/store/apps/details?id=com.application.zomato.district,Negative,0.526,"Customer Support & Resolution, Ease of Use & Digital Experience","Agent Helpfulness, Checkout & Payment Process"
5163ed43-47ac-45de-bd29-9ea418727ac6,Google Play,Play Store -- District,03/05/2026,Tejas Parab,,"The app is very Glitchy and does not have A Cancel button if we want to remove any tickets and cancel the booking before any payment. Please look forward to the bugs in the app, otherwise it's an Awesome app and has many discounts",3,District,https://play.google.com/store/apps/details?id=com.application.zomato.district,Positive,0.754,"Ease of Use & Digital Experience, Events & Venues","Checkout & Payment Process, Ticketing & Booking"
f782402b-98e0-4534-9ad0-90a13685f21c,Google Play,Play Store -- District,03/05/2026,SRUTHI M VIJAYAN,,"WORST EXPERIENCE EVER. I booked a movie through district and I booked food through the app during the first half of the movie. and when we went to get the food, it was not even prepared. the theatre staff didn't even know about our booking. then we made them understand and how we booked and then they started preparing the order. We waited a 15 minutes just before interval, we missed a huge reveal. then we tried talking to customer support. they just apologized. NEVER BOOK FOOD IN DISTRICT.",5,District,https://play.google.com/store/apps/details?id=com.application.zomato.district,Negative,-0.421,"Customer Support & Resolution, Events & Venues","Agent Helpfulness, Ticketing & Booking"
85fe5b0f-2e0c-4e78-831e-59fa8d59bcc2,Google Play,Play Store -- District,31/05/2026,Salil kumar,,Everything about this app is amazing. Love the way they've curated the UX across the platform. Feels like it's only going to get better and better.,5,District,https://play.google.com/store/apps/details?id=com.application.zomato.district,Positive,0.946,Uncategorized/General Feedback,No Specific Issue Stated
